"12bf -- Household income and expenditure by area, annually, 2000-2020",,,,,,,,
,,,,,,,,
Sector,Area,Transaction,"2015 At current prices, millions of euro","2016 At current prices, millions of euro","2017 At current prices, millions of euro","2018 At current prices, millions of euro","2019 At current prices, millions of euro","2020 At current prices, millions of euro"
S14 Households,SK061 Luoteis-Pirkanmaa,"D7R Other current transfers, income",8,8,10,9,9,9
S14 Households,SK061 Luoteis-Pirkanmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",65,66,65,66,68,67
S14 Households,SK061 Luoteis-Pirkanmaa,D61K Employer's social security contributions,59,58,55,56,56,53
S14 Households,SK061 Luoteis-Pirkanmaa,"D7K Other current transfers, expenditure",15,14,14,14,15,15
S14 Households,SK061 Luoteis-Pirkanmaa,"B6N Disposable income, net",311,305,310,311,314,322
S14 Households,SK063 Etelä-Pirkanmaa,"B2N Operating surplus, net",74,76,75,76,74,91
S14 Households,SK063 Etelä-Pirkanmaa,"B3N Mixed income, net",47,49,52,49,50,50
S14 Households,SK063 Etelä-Pirkanmaa,"D11R Wages and salaries received, income",574,584,589,614,630,622
S14 Households,SK063 Etelä-Pirkanmaa,"D12R Employer's social security contributions, income",133,137,127,127,127,118
S14 Households,SK063 Etelä-Pirkanmaa,"D4OMR  Property income, (incl. holding gains and losses), income",69,71,71,67,65,68
S14 Households,SK063 Etelä-Pirkanmaa,"D4K Property income, expenditure",7,5,5,5,5,4
S14 Households,SK063 Etelä-Pirkanmaa,B5N Net national income,889,912,909,927,940,946
S14 Households,SK063 Etelä-Pirkanmaa,"D62R Social benefits other than social transfers in kind, income",354,354,355,356,361,377
S14 Households,SK063 Etelä-Pirkanmaa,"D7R Other current transfers, income",19,19,22,20,22,21
S14 Households,SK063 Etelä-Pirkanmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",202,207,202,204,211,212
S14 Households,SK063 Etelä-Pirkanmaa,D61K Employer's social security contributions,195,202,195,198,202,192
S14 Households,SK063 Etelä-Pirkanmaa,"D7K Other current transfers, expenditure",37,35,37,36,37,37
S14 Households,SK063 Etelä-Pirkanmaa,"B6N Disposable income, net",829,841,853,866,874,902
S14 Households,SK064 Tampere,"B2N Operating surplus, net",636,655,656,651,624,597
S14 Households,SK064 Tampere,"B3N Mixed income, net",520,551,544,511,516,531
S14 Households,SK064 Tampere,"D11R Wages and salaries received, income",6080,6210,6359,6742,7052,7096
S14 Households,SK064 Tampere,"D12R Employer's social security contributions, income",1408,1454,1366,1389,1422,1348
S14 Households,SK064 Tampere,"D4OMR  Property income, (incl. holding gains and losses), income",784,733,848,923,816,903
S14 Households,SK064 Tampere,"D4K Property income, expenditure",61,46,38,43,44,36
S14 Households,SK064 Tampere,B5N Net national income,9366,9556,9735,10172,10385,10440
S14 Households,SK064 Tampere,"D62R Social benefits other than social transfers in kind, income",2962,3018,3047,3087,3178,3350
S14 Households,SK064 Tampere,"D7R Other current transfers, income",144,143,164,149,161,150
S14 Households,SK064 Tampere,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",2087,2132,2144,2214,2261,2338
S14 Households,SK064 Tampere,D61K Employer's social security contributions,2048,2126,2086,2159,2234,2167
S14 Households,SK064 Tampere,"D7K Other current transfers, expenditure",299,288,297,294,305,299
S14 Households,SK064 Tampere,"B6N Disposable income, net",8039,8170,8419,8742,8924,9136
S14 Households,SK068 Lounais-Pirkanmaa,"B2N Operating surplus, net",41,42,42,48,53,63
S14 Households,SK068 Lounais-Pirkanmaa,"B3N Mixed income, net",56,55,58,67,65,67
S14 Households,SK068 Lounais-Pirkanmaa,"D11R Wages and salaries received, income",319,321,325,334,341,335
S14 Households,SK068 Lounais-Pirkanmaa,"D12R Employer's social security contributions, income",74,75,70,69,69,64
S14 Households,SK068 Lounais-Pirkanmaa,"D4OMR  Property income, (incl. holding gains and losses), income",60,55,56,50,48,60
S14 Households,SK068 Lounais-Pirkanmaa,"D4K Property income, expenditure",6,5,4,4,4,3
S14 Households,SK068 Lounais-Pirkanmaa,B5N Net national income,544,544,546,563,573,585
S14 Households,SK068 Lounais-Pirkanmaa,"D62R Social benefits other than social transfers in kind, income",225,227,231,232,237,245
S14 Households,SK068 Lounais-Pirkanmaa,"D7R Other current transfers, income",15,16,18,16,18,17
S14 Households,SK068 Lounais-Pirkanmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",121,122,122,121,122,125
S14 Households,SK068 Lounais-Pirkanmaa,D61K Employer's social security contributions,109,111,108,108,110,104
S14 Households,SK068 Lounais-Pirkanmaa,"D7K Other current transfers, expenditure",26,25,26,26,27,26
S14 Households,SK068 Lounais-Pirkanmaa,"B6N Disposable income, net",528,529,539,556,569,592
S14 Households,SK069 Ylä-Pirkanmaa,"B2N Operating surplus, net",33,34,33,39,45,53
S14 Households,SK069 Ylä-Pirkanmaa,"B3N Mixed income, net",46,47,53,55,53,51
S14 Households,SK069 Ylä-Pirkanmaa,"D11R Wages and salaries received, income",260,259,260,264,265,258
S14 Households,SK069 Ylä-Pirkanmaa,"D12R Employer's social security contributions, income",60,61,56,54,53,49
S14 Households,SK069 Ylä-Pirkanmaa,"D4OMR  Property income, (incl. holding gains and losses), income",45,41,40,55,40,40
S14 Households,SK069 Ylä-Pirkanmaa,"D4K Property income, expenditure",4,3,2,3,3,2
S14 Households,SK069 Ylä-Pirkanmaa,B5N Net national income,439,439,439,465,452,449
S14 Households,SK069 Ylä-Pirkanmaa,"D62R Social benefits other than social transfers in kind, income",226,225,224,224,226,233
S14 Households,SK069 Ylä-Pirkanmaa,"D7R Other current transfers, income",12,12,14,13,14,13
S14 Households,SK069 Ylä-Pirkanmaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",108,108,106,111,107,105
S14 Households,SK069 Ylä-Pirkanmaa,D61K Employer's social security contributions,89,91,87,86,86,81
S14 Households,SK069 Ylä-Pirkanmaa,"D7K Other current transfers, expenditure",22,21,21,21,21,21
S14 Households,SK069 Ylä-Pirkanmaa,"B6N Disposable income, net",458,458,463,484,479,488
S14 Households,SK071 Lahti,"B2N Operating surplus, net",339,349,347,350,342,363
S14 Households,SK071 Lahti,"B3N Mixed income, net",295,304,310,320,308,303
S14 Households,SK071 Lahti,"D11R Wages and salaries received, income",2748,2783,2820,2917,3002,2954
S14 Households,SK071 Lahti,"D12R Employer's social security contributions, income",637,653,607,602,606,562
S14 Households,SK071 Lahti,"D4OMR  Property income, (incl. holding gains and losses), income",385,363,460,407,493,428
S14 Households,SK071 Lahti,"D4K Property income, expenditure",32,24,20,22,22,17
S14 Households,SK071 Lahti,B5N Net national income,4371,4428,4524,4575,4728,4593
S14 Households,SK071 Lahti,"D62R Social benefits other than social transfers in kind, income",1727,1746,1767,1786,1823,1907
S14 Households,SK071 Lahti,"D7R Other current transfers, income",82,84,94,85,92,87
S14 Households,SK071 Lahti,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",993,1003,1011,1014,1060,1052
S14 Households,SK071 Lahti,D61K Employer's social security contributions,932,961,932,941,962,912
S14 Households,SK071 Lahti,"D7K Other current transfers, expenditure",155,146,152,149,154,150
S14 Households,SK071 Lahti,"B6N Disposable income, net",4100,4147,4290,4341,4467,4473
S14 Households,SK081 Kouvola,"B2N Operating surplus, net",157,161,160,154,140,163
S14 Households,SK081 Kouvola,"B3N Mixed income, net",105,110,107,103,104,103
S14 Households,SK081 Kouvola,"D11R Wages and salaries received, income",1155,1149,1158,1194,1224,1203
S14 Households,SK081 Kouvola,"D12R Employer's social security contributions, income",264,265,245,243,243,225
S14 Households,SK081 Kouvola,"D4OMR  Property income, (incl. holding gains and losses), income",134,128,173,169,174,131
S14 Households,SK081 Kouvola,"D4K Property income, expenditure",12,9,7,8,8,6
S14 Households,SK081 Kouvola,B5N Net national income,1803,1804,1837,1854,1877,1818
S14 Households,SK081 Kouvola,"D62R Social benefits other than social transfers in kind, income",769,773,776,777,786,812
S14 Households,SK081 Kouvola,"D7R Other current transfers, income",38,39,44,40,42,41
S14 Households,SK081 Kouvola,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",423,428,425,422,432,436
S14 Households,SK081 Kouvola,D61K Employer's social security contributions,389,394,381,384,388,368
S14 Households,SK081 Kouvola,"D7K Other current transfers, expenditure",72,67,70,69,70,69
S14 Households,SK081 Kouvola,"B6N Disposable income, net",1726,1727,1781,1797,1815,1799
S14 Households,SK082 Kotka-Hamina,"B2N Operating surplus, net",146,149,147,147,142,169
S14 Households,SK082 Kotka-Hamina,"B3N Mixed income, net",93,92,97,77,87,96
S14 Households,SK082 Kotka-Hamina,"D11R Wages and salaries received, income",1126,1121,1131,1187,1225,1222
S14 Households,SK082 Kotka-Hamina,"D12R Employer's social security contributions, income",260,261,242,244,246,231
S14 Households,SK082 Kotka-Hamina,"D4OMR  Property income, (incl. holding gains and losses), income",130,128,163,171,164,120
S14 Households,SK082 Kotka-Hamina,"D4K Property income, expenditure",11,8,7,8,8,6
S14 Households,SK082 Kotka-Hamina,B5N Net national income,1743,1743,1773,1818,1856,1832
S14 Households,SK082 Kotka-Hamina,"D62R Social benefits other than social transfers in kind, income",780,787,785,779,787,816
S14 Households,SK082 Kotka-Hamina,"D7R Other current transfers, income",34,36,39,35,38,37
S14 Households,SK082 Kotka-Hamina,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",417,421,423,424,438,441
S14 Households,SK082 Kotka-Hamina,D61K Employer's social security contributions,383,389,376,385,392,377
S14 Households,SK082 Kotka-Hamina,"D7K Other current transfers, expenditure",65,61,64,62,64,63
S14 Households,SK082 Kotka-Hamina,"B6N Disposable income, net",1692,1694,1735,1760,1787,1804
S14 Households,SK091 Lappeenranta,"B2N Operating surplus, net",134,138,137,146,151,197
S14 Households,SK091 Lappeenranta,"B3N Mixed income, net",119,126,128,128,127,129
S14 Households,SK091 Lappeenranta,"D11R Wages and salaries received, income",1232,1228,1246,1299,1335,1339
S14 Households,SK091 Lappeenranta,"D12R Employer's social security contributions, income",286,288,267,268,270,255
S14 Households,SK091 Lappeenranta,"D4OMR  Property income, (incl. holding gains and losses), income",149,142,198,172,182,139
S14 Households,SK091 Lappeenranta,"D4K Property income, expenditure",13,10,8,9,9,7
S14 Households,SK091 Lappeenranta,B5N Net national income,1907,1911,1968,2003,2057,2050
S14 Households,SK091 Lappeenranta,"D62R Social benefits other than social transfers in kind, income",723,732,734,737,750,783
S14 Households,SK091 Lappeenranta,"D7R Other current transfers, income",36,37,42,38,41,40
S14 Households,SK091 Lappeenranta,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",440,441,440,438,446,457
S14 Households,SK091 Lappeenranta,D61K Employer's social security contributions,419,426,413,421,427,412
S14 Households,SK091 Lappeenranta,"D7K Other current transfers, expenditure",69,65,68,66,69,69
S14 Households,SK091 Lappeenranta,"B6N Disposable income, net",1738,1749,1823,1853,1905,1934
S14 Households,SK093 Imatra,"B2N Operating surplus, net",72,73,71,71,68,87
S14 Households,SK093 Imatra,"B3N Mixed income, net",58,55,52,54,56,48
S14 Households,SK093 Imatra,"D11R Wages and salaries received, income",520,514,512,526,529,509
S14 Households,SK093 Imatra,"D12R Employer's social security contributions, income",121,120,110,108,107,97
S14 Households,SK093 Imatra,"D4OMR  Property income, (incl. holding gains and losses), income",65,57,80,72,76,53
S14 Households,SK093 Imatra,"D4K Property income, expenditure",5,4,3,4,4,3
S14 Households,SK093 Imatra,B5N Net national income,830,815,822,828,832,791
S14 Households,SK093 Imatra,"D62R Social benefits other than social transfers in kind, income",404,406,405,407,410,427
S14 Households,SK093 Imatra,"D7R Other current transfers, income",18,20,22,20,21,21
S14 Households,SK093 Imatra,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",199,197,191,191,193,191
S14 Households,SK093 Imatra,D61K Employer's social security contributions,179,180,172,173,171,160
S14 Households,SK093 Imatra,"D7K Other current transfers, expenditure",35,32,34,33,34,34
S14 Households,SK093 Imatra,"B6N Disposable income, net",840,832,852,857,865,855
S14 Households,SK101 Mikkeli,"B2N Operating surplus, net",140,144,143,139,129,143
S14 Households,SK101 Mikkeli,"B3N Mixed income, net",145,159,161,164,168,146
S14 Households,SK101 Mikkeli,"D11R Wages and salaries received, income",882,885,895,928,946,928
S14 Households,SK101 Mikkeli,"D12R Employer's social security contributions, income",205,208,193,192,191,177
S14 Households,SK101 Mikkeli,"D4OMR  Property income, (incl. holding gains and losses), income",143,134,162,150,163,126
S14 Households,SK101 Mikkeli,"D4K Property income, expenditure",12,9,8,9,9,7
S14 Households,SK101 Mikkeli,B5N Net national income,1502,1520,1546,1565,1587,1513
S14 Households,SK101 Mikkeli,"D62R Social benefits other than social transfers in kind, income",611,617,621,625,635,660
S14 Households,SK101 Mikkeli,"D7R Other current transfers, income",30,31,35,32,34,33
S14 Households,SK101 Mikkeli,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",326,331,333,334,340,348
S14 Households,SK101 Mikkeli,D61K Employer's social security contributions,301,308,298,302,304,288
S14 Households,SK101 Mikkeli,"D7K Other current transfers, expenditure",58,55,57,55,57,56
S14 Households,SK101 Mikkeli,"B6N Disposable income, net",1458,1475,1515,1531,1556,1515
S14 Households,SK103 Savonlinna,"B2N Operating surplus, net",69,69,68,69,68,73
S14 Households,SK103 Savonlinna,"B3N Mixed income, net",82,83,87,90,84,76
S14 Households,SK103 Savonlinna,"D11R Wages and salaries received, income",485,483,481,490,492,477
S14 Households,SK103 Savonlinna,"D12R Employer's social security contributions, income",113,113,104,101,99,91
S14 Households,SK103 Savonlinna,"D4OMR  Property income, (incl. holding gains and losses), income",73,67,87,81,85,66
S14 Households,SK103 Savonlinna,"D4K Property income, expenditure",7,5,4,5,5,4
S14 Households,SK103 Savonlinna,B5N Net national income,815,810,823,827,823,779
S14 Households,SK103 Savonlinna,"D62R Social benefits other than social transfers in kind, income",387,389,389,389,394,407
S14 Households,SK103 Savonlinna,"D7R Other current transfers, income",19,20,22,20,22,20
S14 Households,SK103 Savonlinna,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",193,196,191,188,190,191
S14 Households,SK103 Savonlinna,D61K Employer's social security contributions,166,168,161,160,159,149
S14 Households,SK103 Savonlinna,"D7K Other current transfers, expenditure",35,32,34,32,33,33
S14 Households,SK103 Savonlinna,"B6N Disposable income, net",827,822,849,856,856,834
S14 Households,SK105 Pieksämäki,"B2N Operating surplus, net",45,45,45,44,41,44
S14 Households,SK105 Pieksämäki,"B3N Mixed income, net",52,55,57,58,57,49
S14 Households,SK105 Pieksämäki,"D11R Wages and salaries received, income",277,275,274,281,285,282
S14 Households,SK105 Pieksämäki,"D12R Employer's social security contributions, income",64,65,59,58,57,54
S14 Households,SK105 Pieksämäki,"D4OMR  Property income, (incl. holding gains and losses), income",46,41,53,45,51,38
S14 Households,SK105 Pieksämäki,"D4K Property income, expenditure",4,3,3,3,3,2
S14 Households,SK105 Pieksämäki,B5N Net national income,481,479,485,483,488,465
S14 Households,SK105 Pieksämäki,"D62R Social benefits other than social transfers in kind, income",226,225,226,226,228,235
S14 Households,SK105 Pieksämäki,"D7R Other current transfers, income",11,12,13,12,13,12
S14 Households,SK105 Pieksämäki,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",108,110,108,107,108,106
S14 Households,SK105 Pieksämäki,D61K Employer's social security contributions,95,96,92,92,92,88
S14 Households,SK105 Pieksämäki,"D7K Other current transfers, expenditure",21,19,20,19,20,19
S14 Households,SK105 Pieksämäki,"B6N Disposable income, net",494,491,504,504,509,499
S14 Households,SK111 Ylä-Savo,"B2N Operating surplus, net",94,94,92,93,91,95
S14 Households,SK111 Ylä-Savo,"B3N Mixed income, net",104,119,119,125,135,126
S14 Households,SK111 Ylä-Savo,"D11R Wages and salaries received, income",597,599,609,632,641,627
S14 Households,SK111 Ylä-Savo,"D12R Employer's social security contributions, income",139,141,131,130,130,119
S14 Households,SK111 Ylä-Savo,"D4OMR  Property income, (incl. holding gains and losses), income",97,92,110,117,115,97
S14 Households,SK111 Ylä-Savo,"D4K Property income, expenditure",13,10,8,9,9,7
S14 Households,SK111 Ylä-Savo,B5N Net national income,1018,1035,1053,1087,1103,1058
S14 Households,SK111 Ylä-Savo,"D62R Social benefits other than social transfers in kind, income",454,453,450,448,456,475
S14 Households,SK111 Ylä-Savo,"D7R Other current transfers, income",26,28,33,29,31,29
S14 Households,SK111 Ylä-Savo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",221,224,222,231,229,225
S14 Households,SK111 Ylä-Savo,D61K Employer's social security contributions,204,209,203,205,207,195
S14 Households,SK111 Ylä-Savo,"D7K Other current transfers, expenditure",45,43,45,44,46,44
S14 Households,SK111 Ylä-Savo,"B6N Disposable income, net",1027,1040,1065,1084,1109,1099
S14 Households,SK112 Kuopio,"B2N Operating surplus, net",231,240,242,236,222,223
S14 Households,SK112 Kuopio,"B3N Mixed income, net",202,207,218,225,227,227
S14 Households,SK112 Kuopio,"D11R Wages and salaries received, income",1959,2007,2048,2161,2255,2268
S14 Households,SK112 Kuopio,"D12R Employer's social security contributions, income",455,470,440,445,455,431
S14 Households,SK112 Kuopio,"D4OMR  Property income, (incl. holding gains and losses), income",227,251,276,273,291,238
S14 Households,SK112 Kuopio,"D4K Property income, expenditure",24,18,15,17,17,13
S14 Households,SK112 Kuopio,B5N Net national income,3049,3157,3209,3323,3433,3374
S14 Households,SK112 Kuopio,"D62R Social benefits other than social transfers in kind, income",1067,1084,1091,1108,1134,1188
S14 Households,SK112 Kuopio,"D7R Other current transfers, income",51,52,60,55,59,56
S14 Households,SK112 Kuopio,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",676,704,689,703,728,750
S14 Households,SK112 Kuopio,D61K Employer's social security contributions,665,693,677,697,718,695
S14 Households,SK112 Kuopio,"D7K Other current transfers, expenditure",104,100,103,101,105,103
S14 Households,SK112 Kuopio,"B6N Disposable income, net",2721,2796,2891,2984,3076,3070
S14 Households,SK113 Koillis-Savo,"B2N Operating surplus, net",12,12,11,13,14,15
S14 Households,SK113 Koillis-Savo,"B3N Mixed income, net",17,17,19,23,21,20
S14 Households,SK113 Koillis-Savo,"D11R Wages and salaries received, income",66,65,64,67,68,66
S14 Households,SK113 Koillis-Savo,"D12R Employer's social security contributions, income",15,15,14,14,14,12
S14 Households,SK113 Koillis-Savo,"D4OMR  Property income, (incl. holding gains and losses), income",10,10,12,11,13,9
S14 Households,SK113 Koillis-Savo,"D4K Property income, expenditure",1,1,1,1,1,1
S14 Households,SK113 Koillis-Savo,B5N Net national income,119,118,120,126,128,121
S14 Households,SK113 Koillis-Savo,"D62R Social benefits other than social transfers in kind, income",70,70,69,69,69,71
S14 Households,SK113 Koillis-Savo,"D7R Other current transfers, income",4,4,5,4,5,4
S14 Households,SK113 Koillis-Savo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",27,27,26,27,27,27
S14 Households,SK113 Koillis-Savo,D61K Employer's social security contributions,23,23,22,22,22,21
S14 Households,SK113 Koillis-Savo,"D7K Other current transfers, expenditure",6,6,6,6,6,6
S14 Households,SK113 Koillis-Savo,"B6N Disposable income, net",137,137,140,144,146,143
S14 Households,SK114 Varkaus,"B2N Operating surplus, net",56,56,55,59,61,69
S14 Households,SK114 Varkaus,"B3N Mixed income, net",54,55,59,62,58,53
S14 Households,SK114 Varkaus,"D11R Wages and salaries received, income",447,446,453,463,469,462
S14 Households,SK114 Varkaus,"D12R Employer's social security contributions, income",104,105,98,96,95,88
S14 Households,SK114 Varkaus,"D4OMR  Property income, (incl. holding gains and losses), income",54,51,64,61,63,50
S14 Households,SK114 Varkaus,"D4K Property income, expenditure",5,4,3,3,3,3
S14 Households,SK114 Varkaus,B5N Net national income,709,710,725,737,744,719
S14 Households,SK114 Varkaus,"D62R Social benefits other than social transfers in kind, income",329,331,330,332,337,350
S14 Households,SK114 Varkaus,"D7R Other current transfers, income",16,17,19,17,18,18
S14 Households,SK114 Varkaus,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",165,166,166,167,168,168
S14 Households,SK114 Varkaus,D61K Employer's social security contributions,153,156,151,151,151,144
S14 Households,SK114 Varkaus,"D7K Other current transfers, expenditure",30,28,29,28,29,28
S14 Households,SK114 Varkaus,"B6N Disposable income, net",706,708,728,739,750,746
S14 Households,SK115 Sisä-Savo,"B2N Operating surplus, net",19,19,18,19,26,29
S14 Households,SK115 Sisä-Savo,"B3N Mixed income, net",35,35,37,40,38,36
S14 Households,SK115 Sisä-Savo,"D11R Wages and salaries received, income",141,141,142,148,151,150
S14 Households,SK115 Sisä-Savo,"D12R Employer's social security contributions, income",33,33,31,30,31,29
S14 Households,SK115 Sisä-Savo,"D4OMR  Property income, (incl. holding gains and losses), income",23,22,25,26,26,20
S14 Households,SK115 Sisä-Savo,"D4K Property income, expenditure",3,2,2,2,2,2
S14 Households,SK115 Sisä-Savo,B5N Net national income,248,248,251,261,270,263
S14 Households,SK115 Sisä-Savo,"D62R Social benefits other than social transfers in kind, income",127,127,127,127,128,133
S14 Households,SK115 Sisä-Savo,"D7R Other current transfers, income",7,7,8,8,8,8
S14 Households,SK115 Sisä-Savo,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",57,58,56,59,57,58
S14 Households,SK115 Sisä-Savo,D61K Employer's social security contributions,48,49,47,48,49,47
S14 Households,SK115 Sisä-Savo,"D7K Other current transfers, expenditure",12,11,12,12,12,12
S14 Households,SK115 Sisä-Savo,"B6N Disposable income, net",265,264,271,277,288,288
S14 Households,SK122 Joensuu,"B2N Operating surplus, net",200,203,203,207,206,212
S14 Households,SK122 Joensuu,"B3N Mixed income, net",204,205,209,216,204,201
S14 Households,SK122 Joensuu,"D11R Wages and salaries received, income",1542,1551,1582,1653,1703,1698
S14 Households,SK122 Joensuu,"D12R Employer's social security contributions, income",358,364,340,341,344,323
S14 Households,SK122 Joensuu,"D4OMR  Property income, (incl. holding gains and losses), income",215,198,254,246,280,233
S14 Households,SK122 Joensuu,"D4K Property income, expenditure",21,15,13,14,14,11
S14 Households,SK122 Joensuu,B5N Net national income,2496,2507,2575,2648,2722,2655
S14 Households,SK122 Joensuu,"D62R Social benefits other than social transfers in kind, income",1016,1031,1035,1044,1065,1113
S14 Households,SK122 Joensuu,"D7R Other current transfers, income",53,55,61,56,60,56
S14 Households,SK122 Joensuu,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",541,547,542,550,561,569
S14 Households,SK122 Joensuu,D61K Employer's social security contributions,525,538,525,535,545,523
S14 Households,SK122 Joensuu,"D7K Other current transfers, expenditure",100,95,98,96,100,98
S14 Households,SK122 Joensuu,"B6N Disposable income, net",2400,2414,2506,2567,2641,2634
S14 Households,SK124 Keski-Karjala,"B2N Operating surplus, net",29,29,28,31,34,43
S14 Households,SK124 Keski-Karjala,"B3N Mixed income, net",44,41,46,44,48,45
S14 Households,SK124 Keski-Karjala,"D11R Wages and salaries received, income",161,160,159,164,167,159
S14 Households,SK124 Keski-Karjala,"D12R Employer's social security contributions, income",37,38,34,34,34,30
S14 Households,SK124 Keski-Karjala,"D4OMR  Property income, (incl. holding gains and losses), income",33,31,38,32,36,28
S14 Households,SK124 Keski-Karjala,"D4K Property income, expenditure",4,3,2,2,3,2
S14 Households,SK124 Keski-Karjala,B5N Net national income,300,296,303,303,316,303
S14 Households,SK124 Keski-Karjala,"D62R Social benefits other than social transfers in kind, income",160,161,161,160,161,168
S14 Households,SK124 Keski-Karjala,"D7R Other current transfers, income",9,10,11,9,10,10
S14 Households,SK124 Keski-Karjala,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",71,71,69,67,68,67
S14 Households,SK124 Keski-Karjala,D61K Employer's social security contributions,56,56,53,54,54,50
S14 Households,SK124 Keski-Karjala,"D7K Other current transfers, expenditure",15,14,15,14,15,15
S14 Households,SK124 Keski-Karjala,"B6N Disposable income, net",328,325,337,337,350,349
S14 Households,SK125 Pielisen Karjala,"B2N Operating surplus, net",36,36,35,37,39,46
S14 Households,SK125 Pielisen Karjala,"B3N Mixed income, net",33,35,38,38,40,40
S14 Households,SK125 Pielisen Karjala,"D11R Wages and salaries received, income",205,202,203,207,210,207
S14 Households,SK125 Pielisen Karjala,"D12R Employer's social security contributions, income",48,47,44,43,42,39
S14 Households,SK125 Pielisen Karjala,"D4OMR  Property income, (incl. holding gains and losses), income",33,30,38,40,40,32
S14 Households,SK125 Pielisen Karjala,"D4K Property income, expenditure",4,3,2,2,2,2
S14 Households,SK125 Pielisen Karjala,B5N Net national income,351,348,355,363,369,362
S14 Households,SK125 Pielisen Karjala,"D62R Social benefits other than social transfers in kind, income",214,213,211,211,211,216
S14 Households,SK125 Pielisen Karjala,"D7R Other current transfers, income",10,11,12,11,12,12
S14 Households,SK125 Pielisen Karjala,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",84,83,81,83,82,82
S14 Households,SK125 Pielisen Karjala,D61K Employer's social security contributions,71,71,69,68,69,65
S14 Households,SK125 Pielisen Karjala,"D7K Other current transfers, expenditure",18,17,17,17,17,17
S14 Households,SK125 Pielisen Karjala,"B6N Disposable income, net",403,401,412,417,425,425
S14 Households,SK131 Jyväskylä,"B2N Operating surplus, net",293,304,306,301,286,277
S14 Households,SK131 Jyväskylä,"B3N Mixed income, net",224,236,252,251,242,269
S14 Households,SK131 Jyväskylä,"D11R Wages and salaries received, income",2495,2569,2655,2786,2903,2911
S14 Households,SK131 Jyväskylä,"D12R Employer's social security contributions, income",578,602,571,574,585,553
S14 Households,SK131 Jyväskylä,"D4OMR  Property income, (incl. holding gains and losses), income",314,294,371,401,339,393
S14 Households,SK131 Jyväskylä,"D4K Property income, expenditure",26,20,17,19,19,15
S14 Households,SK131 Jyväskylä,B5N Net national income,3877,3985,4139,4294,4336,4388
S14 Households,SK131 Jyväskylä,"D62R Social benefits other than social transfers in kind, income",1339,1355,1369,1386,1421,1490
S14 Households,SK131 Jyväskylä,"D7R Other current transfers, income",66,65,74,68,75,70
S14 Households,SK131 Jyväskylä,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",844,864,879,897,913,952
S14 Households,SK131 Jyväskylä,D61K Employer's social security contributions,844,884,874,895,922,890
S14 Households,SK131 Jyväskylä,"D7K Other current transfers, expenditure",136,131,135,132,137,135
S14 Households,SK131 Jyväskylä,"B6N Disposable income, net",3459,3526,3694,3824,3860,3970
S14 Households,SK132 Joutsa,"B2N Operating surplus, net",10,10,10,11,11,13
S14 Households,SK132 Joutsa,"B3N Mixed income, net",16,17,21,21,19,15
S14 Households,SK132 Joutsa,"D11R Wages and salaries received, income",50,51,51,53,53,52
S14 Households,SK132 Joutsa,"D12R Employer's social security contributions, income",12,12,11,11,11,10
S14 Households,SK132 Joutsa,"D4OMR  Property income, (incl. holding gains and losses), income",10,10,10,10,9,11
S14 Households,SK132 Joutsa,"D4K Property income, expenditure",1,1,1,1,1,1
S14 Households,SK132 Joutsa,B5N Net national income,96,99,102,105,102,100
S14 Households,SK132 Joutsa,"D62R Social benefits other than social transfers in kind, income",50,50,50,50,50,51
S14 Households,SK132 Joutsa,"D7R Other current transfers, income",3,3,3,3,3,3
S14 Households,SK132 Joutsa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",22,22,22,23,22,22
S14 Households,SK132 Joutsa,D61K Employer's social security contributions,17,18,17,17,17,16
S14 Households,SK132 Joutsa,"D7K Other current transfers, expenditure",5,4,5,4,5,5
S14 Households,SK132 Joutsa,"B6N Disposable income, net",106,108,112,113,112,112
S14 Households,SK133 Keuruu,"B2N Operating surplus, net",23,24,23,23,22,24
S14 Households,SK133 Keuruu,"B3N Mixed income, net",23,23,24,24,26,22
S14 Households,SK133 Keuruu,"D11R Wages and salaries received, income",121,122,123,126,128,125
S14 Households,SK133 Keuruu,"D12R Employer's social security contributions, income",28,29,27,26,26,24
